,id,HOST,Nest,type,STUDY,State,clutch,hatch,total_clutch,NESTFATE,inc,BOX_TYPE
151,1181,1,MI,host,BH,LA,27,12,29,HATCH,yes,BIG
379,1181,1,MI,parasite,BH,LA,2,2,29,HATCH,yes,BIG
2025,1182,2,MI,host,BH,LA,13,12,15,HATCH,yes,BIG
2115,1182,2,MI,parasite,BH,LA,2,0,15,HATCH,yes,BIG
1260,1183,1,WD,host,LR,LA,12,12,12,HATCH,yes,BIG
1261,1184,1,WD,host,IC,LA,17,11,17,HATCH,yes,BIG
2026,1185,2,MI,host,IC,LA,12,12,18,HATCH,yes,BIG
2116,1185,2,MI,parasite,IC,LA,6,3,18,HATCH,yes,BIG
1262,1186,1,WD,host,SF,LA,14,9,14,HATCH,yes,BIG
1263,1187,1,WD,host,BP,LA,20,13,20,HATCH,yes,BIG
1264,1188,1,WD,host,IC,LA,27,24,27,HATCH,yes,BIG
1265,1189,1,WD,host,SF,LA,13,13,13,HATCH,yes,BIG
152,1190,1,MI,host,BH,LA,17,9,26,HATCH,yes,BIG
380,1190,1,MI,parasite,BH,LA,9,7,26,HATCH,yes,BIG
1266,1191,1,WD,host,BH,LA,30,25,30,HATCH,yes,BIG
153,1192,1,MI,host,TL,LA,21,14,26,HATCH,yes,BIG
381,1192,1,MI,parasite,TL,LA,5,5,26,HATCH,yes,BIG
2340,1193,2,HM,host,NF,LA,17,15,17,HATCH,yes,BIG
1267,1194,1,WD,host,LR,LA,12,12,12,HATCH,yes,BIG
1268,1195,1,WD,host,BH,LA,19,16,19,HATCH,yes,BIG
1269,1196,1,WD,host,LR,LA,17,10,17,HATCH,yes,BIG
1270,1197,1,WD,host,NF,LA,24,19,24,HATCH,yes,BIG
1271,1198,1,WD,host,SF,LA,15,15,15,HATCH,yes,BIG
1272,1199,1,WD,host,SP,LA,22,4,22,HATCH,yes,BIG
2341,1200,2,HM,host,BH,LA,7,6,7,HATCH,yes,BIG
2027,1201,2,MI,host,TL,LA,19,13,20,HATCH,yes,BIG
2117,1201,2,MI,parasite,TL,LA,1,0,20,HATCH,yes,BIG
1273,1202,1,WD,host,SF,LA,16,15,16,HATCH,yes,BIG
1274,1203,1,WD,host,SF,LA,16,16,16,HATCH,yes,BIG
1275,1204,1,WD,host,DC,LA,17,8,17,HATCH,yes,BIG
1276,1205,1,WD,host,IC,LA,25,12,25,HATCH,yes,BIG
1277,1206,1,WD,host,SP,LA,30,22,30,HATCH,yes,BIG
1278,1207,1,WD,host,NF,LA,12,11,12,HATCH,yes,BIG
1279,1208,1,WD,host,MS,LA,14,13,14,HATCH,yes,BIG
1280,1209,1,WD,host,IC,LA,15,13,15,HATCH,yes,BIG
1281,1210,1,WD,host,DC,LA,18,6,18,HATCH,yes,BIG
1282,1211,1,WD,host,DC,LA,19,16,19,HATCH,yes,BIG
154,1212,1,MI,host,IC,LA,20,18,22,HATCH,yes,BIG
382,1212,1,MI,parasite,IC,LA,2,2,22,HATCH,yes,BIG
1283,1213,1,WD,host,SF,LA,23,15,23,HATCH,yes,BIG
1284,1214,1,WD,host,TW,LA,14,13,14,HATCH,yes,BIG
1285,1215,1,WD,host,SF,LA,14,14,14,HATCH,yes,BIG
1286,1216,1,WD,host,SP,LA,16,11,16,HATCH,yes,BIG
1287,1217,1,WD,host,SP,LA,19,14,19,HATCH,yes,BIG
1288,1218,1,WD,host,BP,LA,23,21,23,HATCH,yes,BIG
1289,1219,1,WD,host,NF,LA,22,12,22,HATCH,yes,BIG
1290,1220,1,WD,host,SP,LA,21,10,21,HATCH,yes,BIG
155,1221,1,MI,host,TL,LA,21,12,23,HATCH,yes,BIG
383,1221,1,MI,parasite,TL,LA,2,2,23,HATCH,yes,BIG
1291,1222,1,WD,host,IC,LA,18,9,18,HATCH,yes,BIG
1292,1223,1,WD,host,NF,LA,20,14,20,HATCH,yes,BIG
2342,1224,2,HM,host,TL,LA,16,10,16,HATCH,yes,BIG
1293,1225,1,WD,host,IC,LA,10,7,10,HATCH,yes,BIG
1294,1226,1,WD,host,TW,LA,15,14,15,HATCH,yes,BIG
1295,1227,1,WD,host,NF,LA,16,14,16,HATCH,yes,BIG
1296,1228,1,WD,host,IC,LA,20,14,20,HATCH,yes,BIG
1297,1229,1,WD,host,BH,LA,15,6,15,HATCH,yes,BIG
1298,1230,1,WD,host,SP,LA,15,9,15,HATCH,yes,BIG
1299,1231,1,WD,host,LR,LA,16,16,16,HATCH,yes,BIG
1300,1232,1,WD,host,DC,LA,17,16,17,HATCH,yes,BIG
1301,1233,1,WD,host,NF,LA,16,10,16,HATCH,yes,BIG
